"Report Date","Week End Date","Geography Type","Geography Name","Facility Type","Count of CLI Visits","Count of ED Visits","Count of UC Visits","Percent of CLI Visits","Count of CLI Hospitalizations","Percent of  CLI Hospitalizations"
08/03/2020,07/18/2020,"Health Region","Eastern Region","Emergency Department",1739,16986,0,10,325,19
08/03/2020,07/11/2020,"Health Region","Central Region","Urgent Care",1875,0,6781,28,0,0
08/03/2020,07/25/2020,"Health Region","Eastern Region","Urgent Care",1480,0,8747,17,0,0
08/03/2020,04/25/2020,"Health Region","Northwest Region","Emergency Department",565,6586,0,9,151,27
08/03/2020,05/02/2020,"Health Region","Northwest Region","Urgent Care",211,0,1636,13,0,0
08/03/2020,04/25/2020,"Health Region","Northern Region","Emergency Department",1386,7198,0,19,109,8
08/03/2020,03/07/2020,"Health Region","Eastern Region","Urgent Care",980,0,12703,8,0,0
08/03/2020,07/11/2020,"Health Region","Northern Region","Urgent Care",2299,0,7177,32,0,0
08/03/2020,06/27/2020,"Health Region","Northwest Region","Emergency Department",367,8301,0,4,120,33
08/03/2020,04/25/2020,"Health Region","Southwest Region","Emergency Department",385,6518,0,6,167,43
08/03/2020,04/11/2020,"Health Region","Eastern Region","Emergency Department",864,9647,0,9,218,25
08/03/2020,04/04/2020,"Health Region","Central Region","Urgent Care",93,0,3003,3,0,0
08/03/2020,05/09/2020,"Health Region","Eastern Region","Urgent Care",808,0,5829,14,0,0
08/03/2020,06/27/2020,"Health Region","Northern Region","Emergency Department",526,8847,0,6,74,14
08/03/2020,04/18/2020,"Health Region","Northwest Region","Urgent Care",105,0,1415,7,0,0
08/03/2020,07/11/2020,"Health Region","Southwest Region","Emergency Department",594,9969,0,6,165,28
08/03/2020,06/13/2020,"Health Region","Eastern Region","Emergency Department",484,13427,0,4,195,40
08/03/2020,08/01/2020,"Health Region","Eastern Region","Emergency Department",1674,15673,0,11,318,19
08/03/2020,05/23/2020,"Health Region","Southwest Region","Emergency Department",321,7872,0,4,144,45
08/03/2020,07/11/2020,"Health Region","Northwest Region","Emergency Department",474,8815,0,5,148,31
08/03/2020,05/09/2020,"Health Region","Central Region","Urgent Care",1035,0,4505,23,0,0
